Rooms,Type,Price,Bedrooms,Baths,Car,HouseArea,LotArea,BuiltYear
2,h,,2,1,1,1386,,
2,h,1480000,2,1,1,2222,,
2,h,1035000,2,1,0,1716,869,1900
3,u,,3,2,1,,,
3,h,1465000,3,2,0,1474,1650,1900
3,h,850000,3,2,1,1034,,
4,h,1600000,3,1,2,1320,1562,2014
4,h,,3,2,2,4400,2420,2006
2,h,,4,1,2,2211,,1900
2,h,,3,2,1,2222,,1900
2,h,941000,2,1,0,1991,,
3,h,1876000,4,2,0,2695,2310,1910
2,u,,2,2,1,47212,902,2009
4,h,,6,2,0,2530,1617,1860
2,h,1636000,2,1,2,2816,1177,1890
3,h,1000000,,,,,,
2,t,745000,,,,,,
1,u,300000,1,1,1,,,
2,h,1097000,3,1,2,2420,825,1900
2,u,542000,,,,,,
2,h,,2,1,1,1936,880,1925
2,u,760000,,,,,,
1,u,481000,,,,,,
2,u,700000,2,2,1,,,
3,h,1350000,3,2,2,2354,2090,2005
2,u,750000,2,2,1,,1034,2009
4,h,1985000,,,,,,
1,u,500000,,,,,,
2,h,1172500,2,1,1,2145,,
1,u,441000,1,1,1,,,
2,h,1310000,2,1,2,2618,1067,1890
3,u,,3,2,2,,1419,2010
3,h,1200000,3,2,1,1243,1210,1880
2,t,847000,,,,,,
2,h,,,,,,,
3,h,1176500,2,1,1,1518,1155,1890
3,h,955000,3,1,0,2013,,
2,h,890000,2,1,1,1650,803,1985
4,h,1330000,4,2,2,8580,1485,1900
3,h,,3,2,1,1309,1837,2005
3,t,900000,3,2,2,,,2010
3,u,1090000,3,2,2,47190,297,
2,u,500000,2,1,1,,660,1970
2,h,1100000,2,2,1,1364,1485,2013
2,h,1315000,2,1,0,1617,935,1900
1,u,480000,,,,,,
1,u,423500,,,,,,
4,h,,,,,,,
1,u,426000,1,1,1,,,
3,h,1447500,3,3,1,1826,1914,2012
1,u,457000,1,1,1,,550,
2,h,1135000,2,2,2,1078,1408,1920
2,h,700000,,,,,,
4,h,1542000,4,3,1,,,
3,t,962000,,,,,,
3,h,1290000,3,2,2,1617,198,
3,h,1290000,3,1,1,1848,1364,1950
1,u,470000,1,1,1,,550,2013
2,h,1180000,2,1,0,1782,1001,1900
3,h,1195000,3,2,1,1320,1408,1998
2,u,,,,,,,
2,h,1012500,2,1,0,2002,902,1900
2,u,970000,,,,,,
2,h,1030000,2,1,1,1892,891,1930
4,h,,,,,,,
3,h,927000,,,,,,
3,t,840000,3,2,1,3333,2475,2016
3,h,730000,3,2,1,,1595,1965
3,h,770000,3,2,1,,1595,1965
3,h,,3,1,1,6380,1254,1960
2,h,603000,2,1,1,2992,924,1950
3,t,700000,3,2,2,2629,1474,2009
3,h,600000,2,1,1,3190,1276,1980
2,u,500000,2,1,1,1848,946,2011
2,t,420000,,,,,,
3,t,500000,,,,,,
5,h,1035000,,,,,,
4,h,960000,,,,,,
4,h,960000,,,,,,
3,h,720000,2,1,1,6820,,
4,h,785000,3,1,2,6567,1397,
6,h,725000,6,3,2,10736,2046,1980
2,t,450000,2,1,1,1210,990,2015
2,u,515000,2,1,1,1551,803,2013
3,h,680000,,,,,,
2,u,530000,2,1,1,1320,1034,2012
3,h,895000,3,1,6,11693,1463,1975
3,u,600000,,,,,,
3,h,805000,3,1,1,,1155,1950
3,t,760000,,,,,,
3,u,752000,3,1,1,2915,1430,1993
3,u,580000,,,,,,
3,h,725000,,,,,,
4,h,758000,,,,,,
2,u,440000,2,1,1,2112,,
3,h,970000,,,,,,
5,h,755000,3,2,2,6556,,
4,h,985000,,,,,,
3,t,700000,3,2,2,1815,1463,2009
2,u,509500,,,,,,
